time,aqi,pm2_5,pm10,co,no2,o3,so2,rank,temp,humi,wse,wd,tq
2024-11-13 10:00:00,44,24,44,0.6,35,69,6,,21.2,62,3.8,东风,晴
2024-11-13 11:00:00,36,19,36,0.5,29,87,4,,22.0,59,3.8,东北风,晴
2024-11-13 12:00:00,32,15,31,0.5,27,100,4,,22.6,57,2.9,东北风,晴
2024-11-13 13:00:00,33,14,31,0.5,24,104,4,,23.3,56,4.0,东风,晴
2024-11-13 14:00:00,33,14,31,0.5,24,105,4,,23.5,56,2.2,东风,晴
2024-11-13 15:00:00,33,14,31,0.5,27,104,4,,23.5,56,5.4,东北风,晴
2024-11-13 16:00:00,35,16,35,0.5,37,95,4,,23.1,58,4.4,东风,晴
2024-11-13 17:00:00,43,18,43,0.5,51,73,4,,22.6,61,4.1,东北风,晴
2024-11-13 18:00:00,50,20,50,0.6,60,54,5,,22.2,64,3.7,东北风,晴
2024-11-13 19:00:00,58,29,66,0.5,66,0,5,,21.9,66,4.1,东北风,晴
2024-11-13 20:00:00,59,30,68,0.5,69,0,4,,21.4,68,4.1,东风,晴
2024-11-13 21:00:00,63,33,76,0.6,81,0,4,,21.2,70,2.1,东风,晴
2024-11-13 22:00:00,64,34,77,0.7,78,0,4,,21.3,71,2.6,东北风,晴
2024-11-13 23:00:00,57,32,64,0.6,56,0,4,,21.3,70,2.1,东北风,晴
2024-11-14 01:00:00,59,35,67,0.5,46,0,4,,20.4,76,2.3,东北风,晴
2024-11-14 02:00:00,56,32,62,0.5,40,0,4,,20.0,78,1.4,东风,晴
2024-11-14 03:00:00,55,32,60,0.5,40,0,4,,19.7,79,2.3,东风,晴
2024-11-14 04:00:00,54,31,57,0.4,36,0,4,,19.8,79,2.8,东风,晴
2024-11-14 05:00:00,58,37,66,0.5,54,0,4,,19.5,81,1.6,东风,晴
2024-11-14 06:00:00,55,35,60,0.5,52,0,4,,19.3,82,2.9,东风,晴
2024-11-14 07:00:00,53,34,56,0.6,51,0,4,,18.9,88,2.5,东风,小雨
2024-11-14 08:00:00,56,38,61,0.6,59,0,4,,18.6,93,2.7,东北风,小雨
2024-11-14 09:00:00,55,34,59,0.7,57,6,4,,18.6,94,3.6,东北风,中雨
2024-11-14 10:00:00,54,33,57,0.7,53,12,4,,20.1,93,1.3,东南风,小雨
2024-11-14 11:00:00,51,29,52,0.6,48,25,4,,21.6,87,1.2,东风,小雨
2024-11-14 12:00:00,51,30,51,0.6,46,44,4,,23.4,77,1.6,东南风,多云
2024-11-14 13:00:00,37,23,37,0.5,26,78,3,,23.4,76,0.8,东风,多云
